loan_id,disbursement_date,expire_date,is_employed,loan_amount,number_of_defaults,outstanding_balance,interest_rate,age,remaining_term,salary,sector,currency,loan_status
13,2020-01-15,2020-03-19,0.0,10751.520562531197,5.0,24766.77281377733,0.20331720790078636,57.0,48.0,15800.227107557075,Retail,EUR,Non-Default
14,2020-05-23,2020-09-01,1.0,34159.99712995615,3.0,4926.836120270397,0.08162308611092847,37.0,36.0,19158.04957656699,Services,ZWL,Non-Default
15,2022-03-09,2022-12-10,1.0,29364.041693993568,9.0,14265.703502879553,0.1606735661678468,31.0,26.0,11107.365786278715,Retail,EUR,Non-Default
16,2020-02-13,2020-08-05,1.0,19994.190636883202,4.0,23200.135290543236,0.011456062366606786,21.0,36.0,19493.12850089908,IT,EUR,Default
17,2022-07-02,2023-05-25,1.0,8464.592075961325,7.0,1373.4979548999827,0.2257295384634391,26.0,12.0,10907.14926885509,Manufacturing,ZWL,Default
18,2021-11-19,2022-02-03,1.0,46511.98225253072,3.0,18812.71081312071,0.02681037140983361,27.0,22.0,-5527.807456080584,IT,AUD,nan
19,2021-02-09,2021-12-21,1.0,14483.85740144171,1.0,7358.5457762872265,0.06889100172217438,26.0,11.0,1395.5270253011768,Retail,AUD,Non-Default
20,2021-10-17,2021-11-16,1.0,45667.30143337731,9.0,26543.78063248389,0.14900826167564132,57.0,25.0,12502.188630037705,Agriculture,EUR,Default
21,2022-06-15,2022-10-01,1.0,7968.751947125818,0.0,11021.554822587872,0.24902687205848015,46.0,25.0,13801.212199701946,Agriculture,GBP,Non-Default
22,2020-11-10,2021-02-28,1.0,33649.06789373373,3.0,7664.287075907381,0.09791660284003723,28.0,45.0,11711.069442823235,Services,ZWL,Default
23,2020-03-25,2020-09-26,1.0,43769.462782366536,9.0,20362.37609295125,0.0322729954780429,26.0,16.0,2390.1788891133365,Agriculture,AUD,Non-Default
24,2020-02-15,2020-06-03,1.0,17363.34017108714,5.0,9749.61493339058,0.1843262826138659,42.0,35.0,2686.862739816539,Retail,GBP,Non-Default
25,2022-03-11,2022-11-26,1.0,4345.003466519041,7.0,15801.050122471348,0.20765485189534807,28.0,33.0,4965.267094523106,Manufacturing,ZWL,Default
26,2021-09-10,2022-07-19,0.0,32444.64239099319,9.0,26753.598638774958,0.12010389186944681,55.0,54.0,10723.088011792232,Manufacturing,EUR,Non-Default
27,2022-01-29,2023-01-05,1.0,47781.946057971996,0.0,6567.380690395544,0.09697873066606855,21.0,31.0,8572.432299431981,Agriculture,ZWL,Non-Default
28,2022-12-15,2023-12-09,1.0,44939.8820096097,1.0,13930.607667747985,0.18726632825650288,49.0,31.0,13735.500120954322,Retail,GBP,Non-Default
29,2022-01-09,2022-02-13,1.0,31161.03205418108,7.0,25694.853243705904,0.16332729051049186,27.0,16.0,16295.870776909618,Agriculture,ZWL,Non-Default
30,2022-09-19,2023-08-31,1.0,30845.671286404016,6.0,21108.17228092695,0.1394759718499707,27.0,31.0,10563.420420792427,IT,USD,Default
31,2021-08-05,2021-09-26,1.0,31356.43699958597,9.0,5830.235740138364,0.029751543395289966,47.0,20.0,-6192.264223558968,Services,EUR,Non-Default
32,2020-01-26,2020-08-06,1.0,47575.014420465646,4.0,3346.5000622777543,0.1567063799358776,59.0,27.0,6858.763673955036,IT,ZWL,Non-Default
33,2020-12-04,2021-07-08,1.0,48076.18106777562,8.0,5339.937190975484,0.0965038868171954,49.0,11.0,18562.28200356152,Manufacturing,GBP,nan
34,2022-01-12,2022-11-01,0.0,23144.477662305726,0.0,3708.4872544028303,0.016556916801657467,59.0,15.0,-7283.821516976752,IT,USD,Non-Default
35,2021-02-19,2021-07-21,,10926.266823359361,3.0,14616.72170275984,0.18964624613522194,24.0,24.0,2609.4464856640006,Manufacturing,EUR,Non-Default
36,2022-02-10,2022-11-28,0.0,16487.355809398858,3.0,27776.060726603093,0.22406100831807604,39.0,37.0,1673.0405864331206,Services,USD,Non-Default
37,2021-03-15,2021-06-25,1.0,24805.149787010236,2.0,10899.952284536701,0.10004098359705901,29.0,6.0,12007.068569137082,Services,USD,Non-Default
38,2021-12-02,2022-07-15,1.0,39861.70491242508,3.0,20023.093894088066,0.028951492854780624,27.0,9.0,18501.413164771384,Manufacturing,AUD,nan
39,2020-10-20,2021-02-12,1.0,48686.368801608565,6.0,7072.747110721246,0.14770758194481587,59.0,41.0,12105.588253467082,Retail,AUD,Non-Default
40,2020-06-26,2021-01-27,1.0,17519.550585149675,9.0,7951.742569125706,0.06842177612692768,31.0,28.0,-4248.523438163654,Agriculture,AUD,Non-Default
41,2020-12-21,2021-04-19,1.0,11110.914268360031,1.0,9912.434128577424,0.24246758755752695,59.0,51.0,-9629.344449687118,Services,EUR,Non-Default
42,2021-02-28,2021-08-10,1.0,31619.689174168918,3.0,19530.958849665712,0.020249275282040253,38.0,9.0,-1375.0415476387607,Services,EUR,Non-Default
43,2020-04-01,2020-09-15,1.0,44341.14800219822,0.0,24067.70784249432,0.15367409586572012,30.0,50.0,11864.757232968677,Agriculture,GBP,Default
44,2020-11-14,2021-06-22,0.0,8677.941465446555,2.0,19483.328228655493,0.10497327754598311,27.0,46.0,11497.5191997291,Services,ZWL,nan
45,2021-06-08,2022-03-13,1.0,13761.908909522836,7.0,20886.841924300752,0.04780955550711929,30.0,14.0,-3563.089642379552,Services,ZWL,Non-Default
46,2021-05-10,2022-01-08,1.0,23656.922280490908,0.0,27831.949876379247,0.08280242549583317,56.0,51.0,13519.999839706517,Retail,USD,Default
47,2022-06-22,2023-01-30,1.0,103.73152502001949,2.0,11577.767049532735,0.01953350194674014,25.0,4.0,19525.843559465964,IT,GBP,Non-Default
48,2022-03-11,2022-09-27,1.0,7833.385168755516,8.0,13760.408366648307,0.13753589632155425,41.0,22.0,-5367.024578116886,IT,AUD,Non-Default
49,2020-12-05,2021-10-04,1.0,12751.444426050475,8.0,13472.38034902226,0.1147440631855691,57.0,47.0,8005.246464055257,Agriculture,ZWL,Default
50,2022-05-30,2022-10-24,1.0,12187.795299191464,2.0,17899.07549644869,0.08814960465472285,50.0,46.0,-1347.3056575518622,Manufacturing,EUR,Default
51,2020-03-06,2020-08-07,,34120.09378492771,0.0,9980.403155390897,0.24379635921987797,39.0,2.0,18455.388926179974,Agriculture,AUD,Default
52,2022-11-07,2023-10-19,0.0,7377.446849751821,7.0,1451.4797756689702,0.0969245553933008,62.0,57.0,-9419.780071006853,Services,ZWL,Non-Default
53,2020-11-18,2021-02-02,0.0,13619.621670809885,0.0,23145.440037597793,0.08246794634411858,54.0,31.0,7761.859870059732,IT,EUR,Non-Default
54,2020-07-29,2020-12-28,0.0,30730.513132853994,7.0,4061.9355422332815,0.23864530639450623,59.0,47.0,10353.52985073693,IT,EUR,Non-Default
55,2021-06-26,2021-07-27,1.0,5532.003958228843,4.0,19269.434916004455,0.13392376610561801,63.0,49.0,17731.678809827405,Manufacturing,AUD,Default
56,2022-11-12,2023-04-28,0.0,32668.8047239948,6.0,3160.73227647837,0.02787470139259226,33.0,21.0,19502.438696674886,IT,AUD,Non-Default
57,2021-07-22,2022-05-29,1.0,29949.844883750324,6.0,1540.9164737067315,0.05051188577546059,41.0,44.0,5952.495774448296,Agriculture,EUR,Non-Default
58,2021-11-05,2022-09-14,1.0,-210.39458398671786,3.0,1524.9682252031782,0.2257295384634391,32.0,16.0,-1890.2048485478954,Manufacturing,GBP,Default
59,2021-12-18,2022-08-14,1.0,29360.848344015958,0.0,29260.31424052675,0.16550792082424165,54.0,45.0,-9142.203811945652,Retail,EUR,Non-Default
60,2020-02-08,2020-08-08,1.0,29260.526516612055,2.0,14348.18772466618,0.04435602270933948,60.0,31.0,-8349.837810216126,Agriculture,EUR,Non-Default
61,2022-03-03,2022-06-23,1.0,28485.174361868136,1.0,10414.802557968218,0.11334963160148676,25.0,4.0,-7701.291961395993,Services,EUR,Non-Default
62,2020-05-10,2021-01-28,1.0,33793.54521200554,0.0,18336.111732228474,0.12314188349393267,55.0,24.0,1343.8369371790395,Retail,AUD,Non-Default
63,2021-02-24,2021-09-05,0.0,20646.12833173653,3.0,13191.59306464504,0.12229050129326327,21.0,40.0,18598.95139997562,IT,AUD,Non-Default
64,2021-04-03,2021-10-05,1.0,21633.536889966166,1.0,9793.942913542203,0.06123640399805632,18.0,46.0,-3727.2468614469853,IT,EUR,nan
65,2020-01-15,2020-10-29,1.0,14301.554510370328,7.0,20246.07313029185,0.13316672371142138,42.0,17.0,8281.636693766352,Manufacturing,EUR,Non-Default
66,2022-01-16,2022-09-17,1.0,6932.544666524853,0.0,16381.63681118701,0.10025790732692698,18.0,45.0,10100.836392055822,Retail,USD,Default
67,2021-11-10,2022-05-29,1.0,30236.96486195125,8.0,19484.495601435217,0.02740514160532763,35.0,49.0,6989.525137768796,Services,GBP,Default
68,2022-08-29,2023-08-07,0.0,33587.14396401539,9.0,2847.915889968683,0.1802053650073426,43.0,6.0,11388.498785717147,IT,EUR,Default
69,2021-12-09,2022-10-11,1.0,41230.80362143292,9.0,17934.08590245478,0.1942885722539815,61.0,23.0,-3551.1960865587444,Agriculture,EUR,Default
70,2022-01-10,2022-02-22,,23488.845534839067,7.0,15711.060297959517,0.2092593297631824,27.0,14.0,-6018.926070335476,IT,USD,Non-Default
71,2020-02-04,2020-10-06,0.0,23086.329180768855,9.0,24187.777833561333,0.10325530572789716,20.0,39.0,-3795.1746366651796,Manufacturing,AUD,Default
72,2021-03-24,2021-09-22,1.0,12948.646157315061,8.0,10831.538802520727,0.23069087131403346,43.0,39.0,8516.37611580683,Services,ZWL,Non-Default
73,2021-06-04,2022-03-22,1.0,20586.216281057288,3.0,20157.96723488531,0.16845247926739065,64.0,42.0,5408.27722308147,Services,USD,Non-Default
74,2021-10-23,2022-02-12,0.0,28956.563358701005,4.0,28701.95671614277,0.1600618517651839,49.0,39.0,18709.86672572019,IT,AUD,Non-Default
75,2021-06-26,2021-09-26,0.0,1599.575509763387,7.0,25825.50315362072,0.18587170694802926,47.0,32.0,17455.44245832405,Retail,AUD,Non-Default
76,2020-01-08,2020-04-05,0.0,2213.7849253333343,2.0,3811.516926079741,0.16153714716854192,54.0,42.0,12306.754990117497,Retail,USD,Non-Default
77,2021-03-20,2021-05-02,0.0,11777.765637837329,4.0,12263.84019024243,0.24663772014209265,44.0,42.0,5222.484431475872,Retail,GBP,Default
78,2020-03-11,2020-11-27,1.0,15681.66680608357,8.0,10152.335508828834,0.04657434429860009,53.0,35.0,4076.9999686278643,Services,AUD,Non-Default
79,2021-11-22,2022-11-11,1.0,42962.903522630855,5.0,5318.265537207719,0.2039191285598267,51.0,59.0,-8267.041949131739,Agriculture,ZWL,Default
80,2021-04-14,2021-08-08,1.0,38477.147054251924,5.0,5990.4718377586605,0.14895157081022792,21.0,33.0,2479.877231192884,Services,GBP,Non-Default
81,2022-04-01,2022-09-18,0.0,15614.174101811794,9.0,28777.304037677226,0.1844159326147531,53.0,59.0,-9567.810051083785,Services,USD,Non-Default
82,2022-07-07,2022-11-26,1.0,26357.906840816246,2.0,27663.82856036909,0.10799553363019893,33.0,17.0,4263.015437885844,IT,AUD,Non-Default
83,2021-03-01,2021-11-04,1.0,24900.963918415684,9.0,12461.50202078235,0.1847868926789491,41.0,53.0,18377.544030888545,IT,AUD,Non-Default
84,2021-03-10,2021-12-05,1.0,13881.526982909987,5.0,25744.72784386652,0.16839592398015518,35.0,43.0,10259.595621884971,Retail,EUR,Non-Default
85,2021-07-04,2022-05-06,1.0,16013.578622956142,8.0,5695.195922623797,0.07525382126631246,42.0,17.0,-6784.990169270487,Services,GBP,Default
86,2020-09-14,2021-06-23,1.0,36993.22512150556,8.0,18945.13732929573,0.09511873019674119,58.0,31.0,-6991.194621021087,Services,ZWL,Non-Default
87,2021-12-11,2022-05-17,0.0,35063.15131116343,6.0,20636.302259171705,0.1807116583755748,33.0,25.0,19422.319480543403,Manufacturing,AUD,Default
88,2021-12-05,2022-08-24,1.0,5510.998384097573,5.0,22011.57644018472,0.21884745055517665,33.0,5.0,12157.521764818855,IT,ZWL,nan
89,2021-10-11,2022-10-06,0.0,42706.17409128016,7.0,19641.688071126457,0.04601927653344688,63.0,54.0,-9968.231536687683,Manufacturing,ZWL,Non-Default
90,2020-03-22,2020-10-17,1.0,14151.639407796361,3.0,6335.83292563744,0.20803817207045822,34.0,3.0,1163.0119937131985,Services,EUR,Default
91,2021-02-22,2021-05-03,1.0,33920.84939828793,5.0,29476.51746857174,0.10800416347279689,33.0,31.0,8874.684104950597,Agriculture,ZWL,Non-Default
92,2021-03-10,2021-06-22,0.0,343.27378917615283,4.0,26913.83571407093,0.10710415318779992,62.0,38.0,5277.834431473613,Manufacturing,ZWL,Non-Default
93,2020-04-07,2020-09-09,0.0,8901.787527546003,9.0,3275.8162501313313,0.23824151172191668,46.0,13.0,13116.86977379409,IT,EUR,Default
94,2021-03-24,2022-01-25,1.0,4223.069279466724,2.0,20074.287830841036,0.10112482824205768,48.0,26.0,14408.483700307017,Services,GBP,Non-Default
95,2021-08-26,2022-01-20,0.0,46326.42215113928,7.0,6889.591410182417,0.16260039919135566,35.0,27.0,13325.59212466357,Manufacturing,GBP,Non-Default
96,2020-04-25,2021-01-30,1.0,42747.84780141212,8.0,15192.021887931625,0.07392956427123394,53.0,28.0,6097.880829792677,IT,GBP,Non-Default
97,2021-07-25,2022-03-10,1.0,441.4997535488624,4.0,25515.770544296247,0.040712139535457346,27.0,51.0,-9428.83884900247,Services,USD,Non-Default
98,2021-05-21,2022-04-20,1.0,12112.847813211394,4.0,11188.431973394834,0.23821610451615513,46.0,25.0,1454.2138966764742,Services,USD,Non-Default
99,2021-04-30,2022-02-12,1.0,27145.877048050595,9.0,21338.926015963774,0.20186665297549336,51.0,42.0,-3499.6390670590545,Manufacturing,EUR,Non-Default
100,2021-10-24,2021-12-29,1.0,18475.459363959522,2.0,20968.301805788873,0.10424653826981924,22.0,41.0,1088.7055651798455,Manufacturing,ZWL,Non-Default
101,2022-02-05,2022-04-14,1.0,41171.55492510509,8.0,14846.001572444438,0.14286667397725922,32.0,51.0,-5606.48476213586,IT,USD,Non-Default
102,2022-07-04,2023-02-01,1.0,34150.716554510545,4.0,898.5632209099281,0.07148052898225812,34.0,51.0,7268.891175814155,Agriculture,GBP,nan
103,2021-04-05,2022-01-03,1.0,4292.878337010266,2.0,19779.45492333858,0.1532414722251876,39.0,53.0,-2938.8555470773517,Manufacturing,ZWL,Default
104,2021-07-06,2022-06-19,1.0,46693.26254808568,2.0,20774.533688485724,0.1123024631323078,48.0,46.0,16935.45845760659,IT,AUD,nan
105,2022-07-09,2022-08-14,0.0,9081.217780587716,0.0,4588.959430851367,0.24394769684163958,52.0,48.0,-3774.7713120066537,Services,GBP,Default
106,2020-11-30,2021-10-05,1.0,5457.677206229423,3.0,23938.602980999098,0.11539676759017246,48.0,24.0,17883.74869315304,IT,GBP,Non-Default
107,2020-03-04,2020-07-07,1.0,42621.03768250986,6.0,11170.250551640223,0.03931953410490488,26.0,3.0,6912.4308009911,Manufacturing,ZWL,Non-Default
108,2020-02-28,2020-07-10,0.0,27621.48830804234,0.0,10442.174262215187,0.01311301571431386,32.0,13.0,15749.005562522107,Retail,GBP,Default
109,2020-09-22,2021-02-14,1.0,26310.485486541056,8.0,6168.807805805701,0.05037356530967146,51.0,5.0,18291.277785916696,Manufacturing,EUR,Default
110,2020-04-19,2020-05-26,1.0,19605.02524600349,4.0,8522.345519887975,0.2134724120314947,63.0,16.0,14124.70363058081,IT,ZWL,Non-Default
111,2021-06-27,2021-09-01,1.0,20760.37301140604,9.0,17465.64673250835,0.042064202404666615,25.0,45.0,8207.72856875261,Retail,ZWL,Default
112,2021-04-03,2022-01-08,1.0,38932.21712837749,8.0,3442.6309020815916,0.043572589145045366,31.0,21.0,8897.923725391858,Manufacturing,USD,Default
113,2020-11-18,2021-07-14,0.0,49913.46094243188,2.0,10552.6679465459,0.0626627424825444,30.0,49.0,13779.082016597098,Agriculture,AUD,Non-Default
114,2022-02-21,2022-06-05,0.0,28044.083764520496,3.0,21850.32477234092,0.04502604059309331,29.0,3.0,3390.0738958956135,Retail,ZWL,nan
115,2022-02-25,2023-02-05,1.0,31008.85974707571,5.0,6578.146320422956,0.056142225322673635,57.0,31.0,19734.98672979132,IT,GBP,Non-Default
116,2022-05-07,2023-01-04,0.0,20775.276163342183,9.0,18010.666523494987,0.22681606047306097,47.0,37.0,9535.70696877547,Retail,GBP,Non-Default
117,2021-01-11,2021-02-13,0.0,8058.610792215313,6.0,19140.808365280594,0.05286164626642395,45.0,16.0,17393.171950733704,Retail,AUD,Default
118,2021-10-31,2022-05-25,1.0,29981.398119659025,2.0,3232.080358383724,0.18460353936113608,59.0,2.0,12891.849974084726,IT,USD,Non-Default
119,2021-06-17,2022-05-08,0.0,30245.723604751955,9.0,3217.9587052181646,0.24794539724117962,58.0,57.0,14313.131506759968,Agriculture,ZWL,Default
120,2022-07-19,2022-11-27,1.0,10539.748822680194,1.0,23074.321750344618,0.1828228092469448,22.0,38.0,2680.019353397398,IT,USD,Non-Default
121,2020-12-03,2021-08-10,0.0,5013.221902834495,2.0,9056.850672985915,0.15007673564171642,50.0,4.0,-8994.341260884841,Retail,USD,nan
122,2021-10-20,2021-11-19,0.0,35561.09295546114,7.0,26000.9428492919,0.17166385404493278,20.0,38.0,-7520.833757777199,IT,GBP,Non-Default
123,2021-08-17,2021-12-20,1.0,4632.599473998706,8.0,18368.6726173913,0.10151759761325295,47.0,54.0,13911.660701011948,Services,EUR,Default
124,2021-04-15,2021-09-22,1.0,49407.88381063301,3.0,16539.319524991413,0.2064298988610229,53.0,51.0,3961.958173649604,IT,USD,Default
125,2022-10-22,2022-12-03,1.0,8256.906042696271,1.0,7749.39002029778,0.052742463697758,35.0,12.0,18600.713508288696,Agriculture,ZWL,Default
126,2021-01-06,2021-08-16,1.0,36564.41735146207,4.0,3042.558952225506,0.1382005602023262,42.0,12.0,12113.113558333589,IT,USD,Non-Default
127,2021-09-09,2022-08-12,0.0,25147.091688769382,6.0,11723.999517168597,0.16215129341713366,53.0,3.0,-1051.2488811680705,Services,GBP,Non-Default
128,2022-10-30,2023-07-27,0.0,32728.30472781771,9.0,5697.225203025187,0.15012981983521237,55.0,21.0,3588.3858527045704,Services,USD,Non-Default
129,2021-08-29,2022-07-05,1.0,15860.641308470094,3.0,13526.68845284601,0.23209842804208886,19.0,59.0,5306.208109715813,Retail,AUD,Non-Default
130,2022-07-03,2022-12-30,1.0,1041.0016776893056,4.0,14387.833360822733,0.054762793085989483,53.0,28.0,199.9658168450951,IT,USD,Default
131,2022-01-30,2022-08-08,1.0,10649.341298428728,0.0,11170.250551640223,0.13297410564998344,48.0,10.0,-2172.287954949904,IT,GBP,Non-Default
132,2022-11-15,2023-01-13,1.0,1001.4223780678665,3.0,14604.949316577335,0.23057578136239665,23.0,40.0,7188.353513847451,Agriculture,EUR,nan
133,2022-06-04,2022-07-17,1.0,20999.6382757881,6.0,3708.4872544028303,0.14452662862346113,54.0,23.0,10852.464811754999,IT,USD,Non-Default
134,2020-12-22,2021-01-23,1.0,4742.964601004902,3.0,25495.31195710537,0.011349068599916539,37.0,30.0,-5705.588564054417,Manufacturing,EUR,Non-Default
135,2022-07-13,2023-05-02,0.0,19832.856832995938,4.0,12657.339363729696,0.06580179380393769,28.0,30.0,-4428.875214537285,Services,AUD,Default
136,2020-07-01,2021-02-04,1.0,10283.002743813007,0.0,14987.336352833723,0.030266616818410502,57.0,58.0,-5806.815362563955,Agriculture,EUR,Default
137,2021-10-08,2022-05-10,1.0,25126.52189556087,1.0,21135.036952441555,0.15506603009549527,53.0,28.0,15862.678498043544,Agriculture,USD,Default
138,2020-04-13,2021-04-10,0.0,1036.5416525460726,5.0,29760.181646947385,0.19149762137582194,40.0,41.0,12903.00484266927,Retail,USD,Default
139,2022-08-05,2023-08-02,1.0,38474.16895839774,4.0,13435.91111191777,0.04863768143044433,19.0,10.0,10925.84639374099,IT,USD,Non-Default
140,2020-12-02,2021-06-16,,47343.77102565935,5.0,3987.8620994887106,0.2338391794255681,25.0,24.0,-9758.227000433513,IT,ZWL,Non-Default
141,2021-01-31,2021-05-29,,49719.760315248495,7.0,352.6789418280063,0.12387599634429432,50.0,36.0,13634.883713894302,IT,GBP,nan
142,2022-06-26,2023-04-03,1.0,36909.09017641884,7.0,24267.40891498347,0.1375683368326351,64.0,33.0,12281.904187468514,Retail,USD,nan
143,2020-03-31,2021-01-08,1.0,24814.674368415326,1.0,27093.817994598583,0.1326156521041548,29.0,1.0,11956.155267283746,IT,EUR,Non-Default
144,2020-06-06,2021-05-14,1.0,38712.40790960195,4.0,1464.5558997152718,0.21158149208124463,25.0,15.0,13568.756876081148,IT,EUR,Default
145,2021-11-08,2022-09-04,1.0,30984.05809711699,3.0,13415.007420277578,0.06844660677146133,37.0,35.0,11443.366250386287,Services,AUD,Non-Default
146,2022-09-10,2022-10-21,1.0,7855.604943896011,1.0,13685.454634713235,0.16030054526195586,58.0,11.0,19237.713720754728,IT,EUR,Non-Default
147,2020-03-09,2021-01-23,1.0,1054.1862995047813,7.0,12032.63351121842,0.24324950910100235,53.0,30.0,-2916.5123928130633,Agriculture,EUR,Non-Default
148,2021-01-26,2022-01-12,1.0,8905.879414474666,1.0,8879.30246841247,0.200106402819713,23.0,17.0,1176.7420021944145,IT,EUR,Non-Default
149,2021-11-24,2022-05-25,1.0,35532.88239009146,5.0,9171.459770748379,0.02363243614155542,39.0,54.0,17148.747123313755,Manufacturing,ZWL,Non-Default
150,2022-04-21,2022-12-14,1.0,45890.90962847879,3.0,19954.22630696106,0.08784046249505457,44.0,46.0,-8334.473593557488,Manufacturing,USD,Default
151,2021-04-18,2021-11-15,0.0,5532.003958228843,7.0,17640.76823556335,0.21873400596112852,31.0,14.0,-8472.259562402887,Manufacturing,AUD,Non-Default
152,2020-01-30,2020-03-13,1.0,20117.499591462565,9.0,25647.425403340756,0.12972491883984164,23.0,21.0,-9064.393106919795,Services,GBP,Default
153,2022-07-14,2023-01-01,1.0,19743.86174675688,5.0,8369.327673949987,0.16845247926739065,43.0,7.0,-2112.4098071550934,Manufacturing,ZWL,Non-Default
154,2020-12-08,2021-10-25,1.0,44012.886810170916,3.0,10767.987097125973,0.07201205167466358,34.0,17.0,-6712.191790562164,Manufacturing,AUD,Default
155,2022-12-21,2023-05-04,,7286.436822222075,8.0,8902.303883251858,0.16623678383501925,41.0,5.0,14347.684665249533,Retail,GBP,Default
156,2020-08-15,2021-06-11,1.0,31985.523015178558,6.0,20996.017312942655,0.08945435722192391,51.0,38.0,11931.739717040415,Manufacturing,GBP,Non-Default
157,2020-07-21,2021-06-07,1.0,48287.38515703452,4.0,2884.2376953239923,0.12680986656584353,24.0,41.0,12271.926151038795,Manufacturing,AUD,Non-Default
158,2021-12-11,2022-03-20,0.0,17067.551787708915,4.0,22466.86936534825,0.10792203499959412,61.0,42.0,9507.989661071748,IT,AUD,Non-Default
159,2021-03-30,2021-09-16,1.0,36618.16924833877,0.0,18076.39919040713,0.03200528114050688,43.0,48.0,19852.837924735588,Agriculture,USD,nan
160,2020-07-30,2021-02-12,0.0,9645.869204847884,5.0,21879.05686969799,0.018301488895310608,22.0,28.0,-2651.5232526649634,Agriculture,GBP,Default
161,2021-06-15,2021-11-12,1.0,27983.56033433668,7.0,29087.13550419984,0.12475302249517017,27.0,53.0,19212.508551784616,Manufacturing,USD,Non-Default
162,2022-08-21,2023-05-05,1.0,10054.643277421234,7.0,7988.8495132524495,0.24536718925348808,56.0,1.0,19195.141830474164,IT,USD,Default
163,2020-03-11,2020-09-15,1.0,39741.373470232356,4.0,20613.663930602157,0.17684264346404974,18.0,3.0,6134.951545190406,Manufacturing,GBP,Non-Default
164,2021-06-18,2022-06-07,1.0,33598.05046670127,1.0,5878.832483288689,0.21441223334312745,39.0,26.0,16272.479085526054,Agriculture,GBP,Default
165,2022-12-11,2023-09-09,1.0,37759.85507487939,2.0,28114.920284359367,0.06104111955012687,31.0,11.0,3291.8279426224326,Manufacturing,AUD,Non-Default
166,2020-07-13,2020-12-26,0.0,4292.878337010266,1.0,21103.38390083925,0.07143925255377284,56.0,5.0,14831.477000201583,Manufacturing,ZWL,Default
167,2021-08-08,2022-04-25,1.0,41475.301121163575,1.0,3217.9587052181646,0.1428995711639942,31.0,25.0,3350.9712663664995,Agriculture,AUD,Non-Default
168,2021-08-31,2022-02-19,1.0,7561.823955225162,8.0,24327.001220753365,0.14853973708436471,26.0,28.0,2686.862739816539,Manufacturing,AUD,Non-Default
169,2021-03-22,2021-12-26,1.0,29807.67713055224,8.0,18010.586431727465,0.03106823662187047,23.0,7.0,-8729.256692902483,Retail,GBP,Non-Default
170,2021-06-06,2022-04-22,1.0,30246.095016713447,9.0,26029.968291026682,0.23976643369013365,37.0,37.0,4484.629062884833,Retail,GBP,Non-Default
171,2021-06-21,2021-08-31,1.0,34250.03437344857,5.0,4286.540342403782,0.06812848647601671,48.0,27.0,6771.729015097837,Retail,USD,Non-Default
172,2021-02-07,2021-05-05,1.0,7747.657383146536,0.0,17582.23108012622,0.20214099529117982,35.0,53.0,7024.3265907513305,IT,USD,Default
173,2021-05-17,2022-01-31,1.0,17049.197139099797,7.0,2171.739964309507,0.13433978475646674,58.0,47.0,14832.544413806772,Agriculture,GBP,Default
174,2022-02-05,2022-10-28,1.0,4791.281736018186,8.0,8636.100363723466,0.032026495594243684,37.0,39.0,-4727.950527178422,Retail,ZWL,Default
175,2022-03-04,2022-12-28,1.0,48536.10759885582,5.0,23878.139023680225,0.02793181845455958,28.0,51.0,17783.324608665265,IT,USD,Non-Default
