loan_id,disbursement_date,expire_date,is_employed,loan_amount,number_of_defaults,outstanding_balance,interest_rate,age,remaining_term,salary,loan_status
5db6b6cf-e66b-47cd-bc97-82504c2a862d,2022-08-20,2027-07-25,True,44004.0,3,14325.66,22.86,51,60,116691.42,Non-Default
c6c9deb0-561b-4c8d-88ba-089c92f4dc40,2020-03-13,2022-03-03,True,30088.88,5,36908.83,24.77,35,24,71441.24,Default
59fd5e51-c56d-45f5-b730-1c7116413227,2023-10-04,2024-09-28,False,16819.99,2,25610.79,13.2,50,12,98589.39,Default
18bf5b0b-24c4-482b-bb82-6cee425b2460,2022-01-18,2024-01-08,False,44964.51,3,29324.04,9.51,49,24,25670.42,Non-Default
c4beb8e7-7361-45ab-bb9c-13f5f7fe71ab,2023-03-31,2024-03-25,True,31454.58,5,4569.6,8.91,63,12,90808.87,Default
295cd2d9-b52a-41cf-b177-ad95d2c81967,2023-06-14,2027-05-24,False,43326.28,5,24995.76,16.42,51,48,53815.08,Non-Default
9239509a-614f-4c22-8f15-d1d59bc10750,2022-12-29,2026-12-08,False,3053.96,4,4932.31,5.56,53,48,108105.63,Non-Default
488813bc-6010-4486-9df7-21a86abd8f26,2021-01-17,2025-12-22,True,17072.75,0,44996.77,20.15,61,60,27130.51,Default
4fea2611-b5c7-469c-bd59-852d354c6ba3,2023-06-27,2027-06-06,True,41035.5,0,1041.45,15.11,65,48,92341.23,Non-Default
5aff472f-03ab-4892-b5c0-f910ab364ddc,2020-06-06,2023-05-22,False,25479.9,4,45805.19,24.35,73,36,61583.3,Non-Default
c53079c9-7aa0-4dfc-b739-8cc300498b48,2023-04-15,2026-03-30,True,20283.76,5,46099.96,4.96,73,36,117558.1,Default
6c22ce22-0af1-4f9d-9469-57e86fc3c95c,2022-08-14,2026-07-24,True,37176.7,4,1402.08,9.15,22,48,53147.89,Non-Default
4502b2d0-b532-42c3-8386-24060438517d,2022-02-14,2026-01-24,True,7946.15,5,48492.62,3.22,67,48,119377.97,Default
ee9207fa-8a0a-4a19-9625-c40718127645,2021-02-23,2026-01-28,False,38306.18,2,42229.93,13.93,46,60,23272.28,Non-Default
92aee08a-8751-4a30-a12c-546d3f7e9639,2020-01-13,2024-12-17,False,40851.41,3,21045.84,13.96,37,60,89915.36,Default
7780508f-b792-4a49-840c-5ab7def8b9f4,2022-08-27,2027-08-01,False,8679.48,2,48490.02,20.65,26,60,59284.51,Default
101c76cf-b634-4ca5-9f72-89264164a22b,2022-04-27,2025-04-11,False,25156.59,2,35039.05,13.67,35,36,44794.92,Non-Default
aa489ff6-8ff1-4d45-aa72-b99f719654c2,2023-07-10,2024-07-04,False,21333.47,1,17642.12,9.07,75,12,52477.25,Default
36cdd140-234c-457b-ab26-06bbc623db9d,2023-10-22,2024-10-16,True,3793.54,3,14474.16,9.8,63,12,117396.04,Default
1d4ac5bd-6785-4ba8-a49b-c4efdffdc1e6,2020-05-18,2022-05-08,False,39662.87,0,43867.16,19.43,59,24,88933.09,Non-Default
1c303f46-c6f6-4848-92ea-d28af464a98d,2021-07-26,2024-07-10,True,23805.42,5,49772.47,17.91,36,36,107772.42,Non-Default
1ff6982b-278d-4f30-bc29-7694b0535afb,2022-01-30,2024-01-20,True,48010.02,1,26452.01,23.08,26,24,57387.85,Default
c7754969-d498-40af-a4d0-aba752e859e6,2022-01-25,2023-01-20,False,25951.83,0,30110.66,15.26,51,12,110417.67,Default
826ac26c-ab9c-4f3b-8f61-2c3e04eaddf1,2022-01-18,2024-01-08,False,29971.79,4,21301.73,16.65,73,24,51919.32,Default
4338e2c8-c090-46ff-8b01-56ac4d84972c,2023-09-12,2026-08-27,True,32433.06,0,15095.2,13.85,60,36,44887.27,Default
9a57f50d-e49c-4eb7-9bea-5eba19b70a1d,2021-03-10,2024-02-23,True,26750.69,4,14751.08,6.02,61,36,92869.2,Non-Default
1f34a529-0b78-4847-b884-ee3b28ff2988,2020-04-15,2024-03-25,False,2321.26,3,47899.62,21.45,42,48,35129.49,Non-Default
d5920151-c5aa-4c03-9e81-ee005059d684,2020-10-14,2025-09-18,False,4236.66,3,10087.65,16.83,75,60,82986.06,Non-Default
a0da529a-9a8a-4633-ab9e-d6d4f1a3ba86,2022-10-04,2023-09-29,True,24153.76,4,35943.91,2.95,23,12,29806.25,Default
00c4fd8d-d80c-4d7b-bbe8-d3ff92dbacab,2024-07-14,2026-07-04,False,2772.97,5,41407.13,20.39,59,24,117670.67,Non-Default
ffc30975-e0b8-44b8-b2d2-7969b92b1486,2022-09-03,2023-08-29,False,5849.49,1,2058.1,14.56,59,12,89758.01,Default
0605596c-1018-4cf9-b7b4-dda0ac5973e9,2020-06-22,2022-06-12,False,15098.0,4,298.13,6.03,26,24,47334.8,Non-Default
237e36c4-d485-4263-983f-99b4e94f3f0d,2024-08-09,2027-07-25,True,41652.14,4,40114.26,16.92,54,36,91564.47,Non-Default
2ec20aa6-6177-4f79-9e39-d6e913edd70d,2023-08-27,2028-07-31,True,49045.58,4,12429.32,23.39,70,60,98939.09,Default
15d4cf9d-c3ca-48c2-a9e4-81cb62ba6319,2023-02-11,2027-01-21,False,8814.58,4,42254.47,17.17,30,48,96701.47,Non-Default
167565cf-0516-4b32-8a37-3c5a8ed5daaf,2024-07-25,2026-07-15,False,37309.25,0,1733.45,22.13,35,24,90932.67,Default
42b6d0f3-12c1-4e9c-a88a-77e971ad67c8,2020-05-06,2021-05-01,True,17323.06,5,35800.28,18.36,43,12,88653.54,Non-Default
71fa9495-930c-42c9-bd6d-451f86250892,2024-05-14,2028-04-23,True,16996.34,2,2066.12,23.13,40,48,109342.21,Default
6f33e375-814a-4daa-87c4-ebb7bfc887c6,2021-07-28,2022-07-23,True,25219.94,4,33305.48,11.21,35,12,119229.62,Non-Default
f61113f9-0c0c-4210-b395-5d53489cf1f7,2024-04-13,2025-04-08,False,24086.68,5,686.37,14.62,25,12,67390.25,Default
363cb0fa-0aad-48d8-be5f-12d4495b11c8,2021-03-13,2026-02-15,True,41042.34,4,4842.82,24.35,37,60,99084.33,Default
41ef014c-dfc0-4403-b5b5-a671faf5bdc6,2020-08-03,2025-07-08,False,13850.61,2,25595.29,12.29,68,60,74532.08,Default
81e0869e-7f47-4c2d-b76e-acc7068d7c2e,2021-02-22,2026-01-27,True,35855.45,0,23865.61,8.84,32,60,86241.33,Default
9d5a3012-eb41-44c7-8204-a6a84ed4df78,2021-05-08,2025-04-17,False,42047.05,3,18628.56,19.52,44,48,115272.36,Non-Default
b572049f-c2bf-484b-8235-5b3cf3ce3843,2022-01-27,2026-01-06,True,15149.55,1,36369.02,16.63,27,48,72140.64,Default
55025ab5-f1d8-4201-ba9f-9809da4283fe,2021-04-23,2023-04-13,False,5650.35,5,17815.6,5.12,48,24,36998.3,Non-Default
30a68eb9-fe37-4ce1-8806-28512f094b1e,2021-04-18,2023-04-08,True,30182.29,2,26217.06,12.14,19,24,32074.7,Default
c135734a-981e-4cd1-87ea-44124077dcda,2023-04-18,2025-04-07,False,8761.92,0,44353.79,17.1,72,24,71468.56,Default
d127093f-3f5b-49a5-81d5-e47f5f94c06f,2021-08-20,2025-07-30,True,7892.79,5,140.88,24.51,51,48,110036.64,Non-Default
2b577a97-ee92-4238-8504-2057f7c79534,2021-07-30,2022-07-25,True,29095.25,3,11376.36,18.53,64,12,40303.32,Default
5d5e9b26-9877-4fcc-809e-85321c395e78,2021-08-20,2023-08-10,True,2538.22,3,19020.49,17.42,29,24,58358.95,Non-Default
17dceabd-4aa9-4285-a0e2-e942f56d390c,2022-08-11,2024-07-31,False,32879.28,5,21169.99,14.41,68,24,54675.71,Non-Default
1070b98e-2d13-422a-a730-b47e164529fe,2024-06-05,2027-05-21,False,11968.84,2,40878.17,10.0,25,36,116244.7,Default
30f9127c-5ac6-44a6-80da-80e3042656f8,2022-10-02,2023-09-27,True,16218.89,0,1746.29,14.16,62,12,35786.62,Default
8a0eb6a8-5c61-4c6c-b437-a64b26e9d70a,2022-04-30,2024-04-19,False,6919.15,3,42052.54,14.42,18,24,80664.82,Default
982d43f1-bc6a-41bb-bdd9-77a38d4f9386,2022-05-22,2025-05-06,False,42478.62,3,22250.92,12.08,69,36,107106.64,Default
5adabc68-5917-4893-8550-a226c5e7347d,2023-08-20,2027-07-30,True,48850.28,0,44832.67,20.73,41,48,110044.03,Non-Default
d51b4d95-7ee7-4f31-81c3-4f169a4b27b0,2024-03-08,2028-02-16,False,5245.16,0,18235.05,21.43,71,48,78989.17,Default
193dc2a7-01ed-4a6c-ae4e-ee9be32c98dd,2024-04-23,2029-03-28,False,47661.16,1,43203.28,13.85,44,60,83754.99,Non-Default
470914a2-d902-4bb0-8622-0485b1b27942,2020-01-10,2024-12-14,False,23650.01,5,13761.22,7.57,54,60,87481.14,Non-Default
55d4fb7f-0cef-4950-98dc-1112fe6eec28,2021-09-18,2023-09-08,False,22166.15,0,40434.82,21.64,70,24,55432.6,Non-Default
02e9ccdb-a79e-4e88-996b-1a24c6a6d1d5,2024-03-13,2027-02-26,False,34690.42,4,12718.88,22.41,47,36,110484.59,Default
17721236-a581-419f-88e5-af52e30de62c,2022-08-19,2027-07-24,True,28727.66,5,33724.69,3.23,18,60,84290.7,Non-Default
397784de-bacf-4339-8f3b-0f80c81aa690,2020-06-07,2023-05-23,True,24788.66,5,26183.0,6.21,70,36,114711.73,Default
dfac725e-f074-46f4-9d36-4950634b2247,2021-07-30,2022-07-25,True,19791.76,3,2532.27,21.2,59,12,73623.52,Default
1c9cf1d2-30fa-4a52-835c-d3b99ecd603b,2023-12-21,2024-12-15,False,13113.61,1,4567.97,14.01,34,12,27665.4,Default
e6d111e6-7ca4-4535-864f-181e7e7dc935,2024-03-10,2027-02-23,False,48403.45,1,37717.75,9.46,54,36,66155.74,Default
83d57cc7-dd44-4a98-b410-d5507ca8a7f6,2023-03-04,2026-02-16,False,47075.39,1,25522.18,15.81,62,36,118758.75,Non-Default
b17bbedc-6606-47ce-b0ad-ad79ba863bf5,2022-11-05,2024-10-25,False,12348.12,3,45444.97,20.01,62,24,119756.77,Default
807a042d-c051-49f8-a7e5-9c4aae30385e,2020-07-25,2023-07-10,False,1990.64,0,28752.43,13.43,24,36,109125.5,Default
3f45370f-4e19-4e38-a24a-fa8a40059852,2020-03-04,2021-02-27,True,11333.47,2,36917.08,20.75,72,12,51331.34,Non-Default
fdc0a305-ef60-4a81-a7ea-77a9944677e1,2020-06-28,2023-06-13,True,4227.77,4,30555.1,4.59,44,36,28780.48,Default
a8109940-2726-4ae7-bf4a-54af11a441fc,2023-06-20,2027-05-30,False,35327.4,0,20691.27,16.26,29,48,102424.13,Non-Default
1b2adeac-7b65-413e-b9bb-e3640a214106,2020-05-14,2022-05-04,True,42845.54,1,41879.41,20.69,58,24,46152.92,Non-Default
e83ca745-a10a-4066-b48d-bac4acb19956,2020-09-15,2021-09-10,True,18726.74,4,23125.93,11.61,59,12,79811.53,Default
cb7790ee-4b7b-42f1-8aea-599cc76a17f1,2022-07-19,2027-06-23,True,18281.69,3,38200.67,19.02,45,60,85732.33,Default
2b1b4d4d-dc8c-43f8-b413-7233fe2d771e,2023-01-15,2025-12-30,True,13763.38,1,21858.34,19.11,43,36,106370.86,Non-Default
7c06e48e-87a4-40d0-b1a4-22c2117c7684,2024-08-07,2025-08-02,False,13755.85,5,4605.4,9.3,60,12,95299.26,Non-Default
f21a8941-371b-490b-887e-e4be5e32480a,2023-04-03,2025-03-23,False,12839.8,3,550.36,7.93,23,24,70582.1,Non-Default
d19bd304-1599-4491-a5ae-fb0e7f85dc86,2020-07-07,2024-06-16,True,43106.99,0,10497.43,17.69,48,48,47804.13,Default
3bc1ad77-4972-42c6-8e29-214fdd74080a,2023-03-02,2027-02-09,False,5303.38,1,25235.63,7.4,27,48,79576.62,Default
9936916a-ea33-4ad4-b82c-671a9d1fb125,2021-10-22,2024-10-06,True,13888.47,0,31984.94,11.06,28,36,48293.39,Default
2c2967dd-62db-44b9-b639-33b805297d77,2020-05-18,2024-04-27,False,3111.04,5,24302.22,7.65,51,48,72920.3,Default
de635886-16c7-48a6-b75e-900cd8df7c19,2023-02-11,2027-01-21,True,20929.48,4,34162.47,21.15,75,48,108359.89,Default
13541dbc-51a5-4e16-940f-679e414e398f,2023-01-15,2025-12-30,True,43442.12,4,29318.72,17.81,25,36,34113.06,Default
6c421396-d797-489b-ae30-ae263b409ee8,2023-05-09,2025-04-28,True,5514.28,4,29691.17,11.19,49,24,73065.73,Non-Default
f52f6c27-c15c-4ec5-b5e2-cd01451bfda9,2022-01-28,2026-01-07,False,38421.21,1,49142.39,14.39,24,48,60022.13,Default
6f359f96-67c4-44d5-82ba-7e0367c71b44,2023-05-15,2025-05-04,False,43508.44,2,40193.69,4.16,72,24,48847.63,Non-Default
00949ce4-517c-49ff-bbc7-ce71848a7be0,2024-02-09,2027-01-24,False,40394.78,5,1835.66,8.4,53,36,24409.04,Non-Default
51b2ccb5-99e0-4e6d-80eb-94e60b717eb9,2022-06-10,2025-05-25,False,19646.85,1,30515.55,13.32,32,36,23631.84,Non-Default
94dcf074-1abf-45ee-a919-b2a80656bd07,2022-01-26,2026-01-05,True,44095.77,3,27288.85,21.52,50,48,20202.95,Default
1550fef6-4829-4610-a74c-78c48e66a7e4,2024-04-08,2026-03-29,False,9284.5,0,7773.26,17.18,34,24,92324.0,Default
58e94412-1a6a-468c-a848-6a7715a9e440,2022-02-14,2025-01-29,False,14626.17,5,18587.48,16.01,57,36,40262.0,Non-Default
a5ba53b2-4cdd-42d0-9f24-efa0345f4ca5,2023-09-23,2024-09-17,False,11657.97,0,21524.81,14.96,34,12,42876.69,Non-Default
c6acacb7-3b54-4d1b-b01a-fb5224cbbebc,2021-11-21,2023-11-11,True,24228.96,1,14346.46,6.12,40,24,86701.83,Default
26a510eb-96e0-4a84-8568-252aca7c4357,2023-09-21,2027-08-31,True,16037.31,1,27406.66,17.42,47,48,92940.68,Non-Default
5f3cda74-bb01-485b-a139-07fde804615f,2022-05-15,2025-04-29,False,45550.94,2,21817.7,15.56,74,36,100455.24,Default
1ed618f7-9d2d-4fca-87c3-05709bf89772,2020-09-04,2023-08-20,False,5328.51,3,44769.48,4.32,71,36,117714.48,Non-Default
fdbf18fe-615e-460c-809c-dd2abd450eb1,2020-07-07,2023-06-22,False,47671.55,5,3282.17,20.18,72,36,99460.78,Non-Default
e9ba98b6-e501-4b34-bd2e-9bfbdae1f442,2022-07-28,2023-07-23,False,18497.09,2,29636.87,10.92,25,12,54749.47,Default
26589ccf-7f58-44e5-873b-181327d9282b,2024-02-23,2027-02-07,True,23102.79,4,47728.79,12.25,47,36,50448.31,Non-Default
09ac31b8-2c49-4dd6-a08f-4bc06412fb04,2021-02-03,2025-01-13,False,29403.28,2,22097.6,3.73,66,48,37238.21,Default
e53ce560-f119-49c4-a1c8-7e8dcdaf4224,2020-04-17,2021-04-12,False,5021.64,0,4991.56,2.77,29,12,70806.75,Default
096a5262-3144-411e-9231-759e7ec9f654,2021-06-27,2022-06-22,False,23255.44,4,27526.41,10.66,44,12,104940.16,Non-Default
1445be6f-01a6-466b-86e5-ad39a540aa90,2021-01-28,2025-01-07,False,6773.84,5,34702.9,10.99,56,48,108412.67,Default
0fe254a5-688d-4a62-a720-6f37efe45418,2023-10-24,2026-10-08,False,35020.52,1,31234.37,4.44,63,36,48388.05,Non-Default
e3feb3ac-11ab-4b6f-9a57-89e2ded7606c,2022-10-26,2026-10-05,False,35027.18,4,28300.41,12.33,56,48,38484.2,Non-Default
ae54eb5c-d174-4df2-a6fc-a44aaeeb2aa6,2021-07-03,2022-06-28,False,20287.55,2,33808.07,20.56,65,12,58100.1,Non-Default
9bd8ac8f-a616-4d63-8c7b-fac1fae19e87,2023-02-22,2024-02-17,True,45178.04,0,37200.88,11.94,24,12,94886.63,Default
a4070cd8-6089-491f-a45c-6ec3c8e98768,2023-04-28,2027-04-07,False,13437.93,0,4449.7,9.16,39,48,26809.55,Non-Default
af2065dc-cced-482f-a9ca-0b74779421f5,2022-02-06,2026-01-16,False,9187.52,3,14093.1,10.44,22,48,99675.17,Default
7a7da818-c4fc-4d7e-ab87-131062b2f1a6,2022-10-24,2026-10-03,False,46058.1,1,42029.52,5.07,62,48,94511.76,Non-Default
727f978f-6b30-4ee3-ae8d-949ba00f4c4f,2023-12-23,2024-12-17,False,49399.34,2,30712.91,7.1,44,12,32659.39,Non-Default
2d744619-96c0-47c0-935c-120a4c940d35,2023-10-18,2028-09-21,False,19918.41,5,12230.09,22.65,52,60,102141.88,Default
e86f958a-31bb-4d0e-9a9d-a9c7cd6926db,2022-11-06,2027-10-11,True,41553.43,4,49679.53,12.57,18,60,109103.51,Non-Default
e91e8544-826c-4ff4-b982-666c9d162cf1,2020-06-04,2021-05-30,False,15505.45,3,4539.57,11.48,43,12,43001.57,Non-Default
e72d2f5b-4838-4ddd-b26e-07a44508752d,2022-09-02,2026-08-12,False,8914.47,5,16080.8,14.51,29,48,113424.68,Non-Default
c4afe9f8-87c2-4e23-b852-507f8c7970b6,2020-09-07,2023-08-23,True,46904.52,1,44889.73,9.34,33,36,26858.67,Non-Default
cae3c106-47cd-4d54-95e4-5a9f6924404a,2023-05-16,2024-05-10,False,48820.51,0,27345.63,22.74,32,12,26757.21,Non-Default
a35e38ae-05f4-48a4-a590-132ee5d4079c,2023-07-23,2024-07-17,True,23405.96,1,10461.18,23.56,24,12,106452.65,Non-Default
b46bfeaa-cb48-4978-ae55-9f17a3e955e6,2020-05-26,2025-04-30,False,14479.76,0,16029.04,23.87,73,60,46156.93,Non-Default
3f7f59eb-21cc-4bb0-a2f5-4b7110270839,2024-01-06,2025-12-26,True,22421.61,5,9939.03,21.95,30,24,90070.32,Non-Default
e5e684f4-9ce9-4535-8dbb-f9bfdad7a387,2021-08-06,2025-07-16,False,3819.5,1,24251.48,6.39,45,48,23314.91,Default
b73b8a20-099f-46ce-92f2-99240aa38efe,2022-05-24,2025-05-08,False,47816.33,4,17601.87,8.55,56,36,86832.45,Default
1a563cd0-b99b-420d-8c57-d42fa4a7f716,2020-12-19,2023-12-04,False,41587.33,2,19640.09,10.57,58,36,86256.12,Non-Default
5eba89f1-ca63-4ac4-a681-737b27c12a38,2024-05-27,2026-05-17,True,43534.86,1,14877.33,18.69,28,24,72950.19,Non-Default
c365f044-aedf-4c6f-8c1d-ad655f970f90,2020-03-01,2024-02-09,True,35657.16,5,26078.55,16.46,42,48,57872.62,Default
e9c2379a-e1a9-492c-9910-ba7d3eb96117,2021-03-05,2024-02-18,False,13016.33,1,10144.69,17.52,38,36,114884.35,Default
6f5d2d02-484f-4b61-bc9b-b277536b88b9,2024-07-23,2027-07-08,False,30597.19,3,23588.91,14.79,18,36,49197.11,Default
80f2352c-4b1b-4a79-833e-094f34600a8d,2021-09-06,2024-08-21,True,44436.68,5,48036.22,22.5,58,36,98369.8,Non-Default
a8901289-d330-4ae0-857b-89a51c2aae05,2021-01-30,2026-01-04,False,18663.92,2,41874.31,6.37,65,60,85259.61,Non-Default
56c06a0f-ba3b-4fa4-a2e6-9e6da598ca6a,2023-06-02,2024-05-27,False,16760.05,2,20807.23,10.24,22,12,77963.99,Non-Default
8bd79701-9478-47f3-b0ec-e549fe825ae7,2020-05-24,2024-05-03,False,48931.31,2,6614.92,9.52,71,48,74833.44,Default
155cd4b0-6e10-42ed-aa4e-d6fd7e6cd6b0,2023-02-15,2027-01-25,True,31049.16,4,32247.68,23.44,68,48,108652.24,Non-Default
47b004e3-1b48-4713-b9f4-f6ec59f1a13a,2023-01-07,2024-01-02,True,23891.46,5,25368.0,23.1,62,12,20584.98,Default
5af5ae63-ab4d-4fa3-a828-30fac6ae7afc,2020-01-25,2022-01-14,True,39215.53,3,4355.98,6.34,71,24,49966.38,Non-Default
c52dd562-d5f0-44e2-bcca-9d4b129fd52a,2021-03-27,2025-03-06,False,37593.86,2,8118.47,4.96,33,48,55479.1,Default
a9b796ac-7ab6-44fa-be57-549be374fd5f,2023-03-19,2027-02-26,True,41472.33,1,21222.53,3.14,53,48,29636.7,Default
856b5d2a-bd32-4e2b-b47b-dbce642869a7,2021-08-18,2024-08-02,True,24459.35,0,47987.26,10.56,47,36,39134.59,Non-Default
d2e9a0c5-003c-4d43-b932-be8b8df752d1,2021-03-18,2023-03-08,True,12387.9,5,38272.89,12.02,30,24,58751.44,Non-Default
d671fe8a-4670-4f98-99d0-f557dfefbecf,2022-02-07,2024-01-28,False,9122.96,4,44384.46,22.44,54,24,51274.49,Non-Default
2a7fd61c-8a67-4b00-ba1e-b57752585496,2020-08-09,2025-07-14,True,16742.71,5,12971.03,21.03,44,60,111945.59,Non-Default
91b64929-adf0-452e-9174-569e3f975dbb,2023-03-22,2024-03-16,False,33331.42,4,23979.11,24.7,56,12,110665.59,Non-Default
7476ee5f-f0df-4394-9bfb-a6211f43bce6,2022-11-17,2027-10-22,False,42644.47,2,7032.12,8.13,20,60,70444.9,Non-Default
587fa53e-8775-4a56-af62-5fda161029d1,2021-09-26,2023-09-16,True,31372.07,2,24937.21,3.24,59,24,46996.59,Default
61bd3dad-ef74-4757-b5ba-bec6bac87e55,2020-02-04,2021-01-29,True,5328.53,0,19731.88,7.73,43,12,110779.69,Non-Default
a5368644-51f2-411a-8017-edbc82d42e2c,2022-11-17,2025-11-01,False,37542.34,2,151.97,7.79,21,36,80735.56,Non-Default
dc32db17-6bef-4c37-a1d0-0f1758de7bca,2023-10-11,2027-09-20,True,26629.97,5,33428.2,6.54,65,48,69288.45,Default
63971869-a615-4f0d-abc5-09868822ce40,2023-12-11,2028-11-14,True,13926.22,2,12264.66,16.03,31,60,29329.46,Default
33fa8d94-b22f-448d-99ac-1269dfd03fbf,2024-06-07,2025-06-02,False,8277.79,3,704.41,14.4,60,12,63881.23,Default
b9a25e9b-4023-4f72-abdb-2640064b783b,2022-01-19,2025-12-29,False,33063.54,1,7500.63,15.44,66,48,39969.8,Non-Default
6695b87a-7d8e-4e91-bfa7-758ac10cec7f,2021-07-14,2022-07-09,False,10211.74,3,5724.21,18.96,51,12,111713.41,Non-Default
d30d0ea1-1319-4017-91fd-6851dda29d86,2021-01-01,2025-12-06,True,7348.47,4,39680.28,22.76,28,60,56761.31,Non-Default
5c76d263-e2a5-4fcc-ab90-8de81032377f,2022-01-12,2026-12-17,True,38949.74,1,1954.45,24.24,27,60,67505.07,Non-Default
e942d6dd-b409-4ef3-ae8f-e4d43618fb44,2021-08-24,2023-08-14,False,43402.06,4,40390.34,20.67,31,24,119729.43,Non-Default
69e8eca7-bc6b-48d3-b057-b337cc963543,2022-03-02,2024-02-20,True,2751.12,4,47159.09,13.81,48,24,42382.05,Non-Default
d27af4e6-bfec-43ca-9a7c-02826c89028f,2023-05-09,2026-04-23,False,45330.23,1,38778.41,10.16,18,36,52490.11,Non-Default
06bd007c-260a-4dd1-941c-eeb83137d3e6,2023-08-14,2027-07-24,True,33173.9,5,27352.19,16.25,18,48,69054.47,Non-Default
febe24d4-a973-41b3-a4e4-8abb83e91cf4,2024-01-24,2028-01-03,True,5974.45,4,16272.34,7.84,60,48,119650.67,Default
e873c6e1-e082-4cb8-9376-9014a8eaa032,2021-01-01,2025-12-06,True,15717.11,2,1187.67,24.48,43,60,118090.31,Default
8d19cd09-95c5-4937-9f35-43e70383e556,2020-07-19,2022-07-09,True,13565.35,1,42290.38,3.58,60,24,81513.22,Default
